
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Wesley Matthews,29,5,5,173,20,60,.333,10,35,.286,10,25,.400,.417,15,19,.789,4,14,18,6,6,0,4,14,65
2,Raymond Felton,31,5,4,172,32,69,.464,4,14,.286,28,55,.509,.493,7,11,.636,2,21,23,23,6,0,12,14,75
3,Dirk Nowitzki,37,5,5,170,41,83,.494,4,11,.364,37,72,.514,.518,16,17,.941,3,21,24,8,2,3,7,9,102
4,Devin Harris,32,5,0,121,15,30,.500,4,13,.308,11,17,.647,.567,5,10,.500,1,13,14,8,3,0,3,16,39
5,Zaza Pachulia,31,5,4,112,9,24,.375,0,0,,9,24,.375,.375,15,17,.882,10,17,27,16,3,1,2,13,33
6,J.J. Barea,31,4,2,100,11,34,.324,1,8,.125,10,26,.385,.338,2,2,1.000,0,6,6,20,0,0,11,8,25
7,Justin Anderson,22,5,1,95,17,37,.459,4,13,.308,13,24,.542,.514,9,14,.643,9,11,20,7,4,3,5,12,47
8,Salah Mejri,29,4,1,76,7,10,.700,0,0,,7,10,.700,.700,5,12,.417,5,8,13,1,3,5,0,11,19
9,Dwight Powell,24,4,0,64,9,19,.474,0,1,.000,9,18,.500,.474,6,11,.545,9,8,17,4,1,0,1,5,24
10,Deron Williams,31,3,3,49,6,18,.333,3,7,.429,3,11,.273,.417,0,0,,0,2,2,8,1,0,7,6,15
11,David Lee,32,2,0,33,6,8,.750,0,0,,6,8,.750,.750,0,0,,1,5,6,1,0,0,0,7,12
12,Charlie Villanueva,31,4,0,20,3,12,.250,1,5,.200,2,7,.286,.292,2,2,1.000,0,2,2,1,0,0,1,2,9
13,JaVale McGee,28,2,0,14,1,2,.500,0,0,,1,2,.500,.500,2,6,.333,2,1,3,0,1,0,3,3,4
