
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Draymond Green,25,23,23,879,119,276,.431,38,104,.365,81,172,.471,.500,79,107,.738,38,190,228,138,37,41,56,81,355
2,Klay Thompson,25,24,24,849,201,453,.444,98,231,.424,103,222,.464,.552,82,96,.854,15,73,88,54,26,9,47,53,582
3,Andre Iguodala,32,24,3,767,78,164,.476,25,65,.385,53,99,.535,.552,32,57,.561,35,70,105,90,29,10,23,37,213
4,Harrison Barnes,23,24,23,743,82,213,.385,26,76,.342,56,137,.409,.446,26,34,.765,27,85,112,30,17,4,18,46,216
5,Stephen Curry,27,18,17,614,148,338,.438,80,198,.404,68,140,.486,.556,76,83,.916,14,85,99,93,26,5,75,39,452
6,Shaun Livingston,30,24,7,514,82,168,.488,0,1,.000,82,167,.491,.488,32,37,.865,13,63,76,80,12,5,29,48,196
7,Andrew Bogut,31,22,22,365,48,77,.623,0,2,.000,48,75,.640,.623,5,14,.357,47,78,125,30,14,35,19,72,101
8,Leandro Barbosa,33,23,0,254,51,88,.580,11,28,.393,40,60,.667,.642,16,21,.762,11,16,27,15,11,1,11,24,129
9,Festus Ezeli,26,23,1,203,37,69,.536,0,0,,37,69,.536,.536,19,44,.432,23,38,61,8,1,7,14,34,93
10,Marreese Speights,28,24,0,201,46,118,.390,18,43,.419,28,75,.373,.466,24,31,.774,15,32,47,11,3,8,20,43,134
11,Ian Clark,24,16,0,154,26,53,.491,6,18,.333,20,35,.571,.547,8,10,.800,2,15,17,16,8,0,9,18,66
12,Brandon Rush,30,14,0,110,9,20,.450,4,12,.333,5,8,.625,.550,1,2,.500,0,23,23,3,2,2,2,9,23
13,Anderson Varejao,33,17,0,93,5,14,.357,0,0,,5,14,.357,.357,10,19,.526,12,9,21,13,2,2,2,17,20
14,James Michael McAdoo,23,8,0,38,2,4,.500,0,0,,2,4,.500,.500,1,4,.250,0,8,8,2,3,2,1,6,5
