
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden,26,5,5,193,41,100,.410,13,42,.310,28,58,.483,.475,38,45,.844,7,19,26,38,12,1,26,13,133
2,Trevor Ariza,30,5,5,181,13,51,.255,4,28,.143,9,23,.391,.294,3,4,.750,7,14,21,4,13,1,12,16,33
3,Dwight Howard,30,5,5,180,26,48,.542,0,1,.000,26,47,.553,.542,14,38,.368,26,44,70,8,4,7,12,21,66
4,Patrick Beverley,27,5,5,129,10,37,.270,3,14,.214,7,23,.304,.311,6,6,1.000,4,18,22,11,2,2,4,17,29
5,Jason Terry,38,5,0,124,13,38,.342,6,19,.316,7,19,.368,.421,3,3,1.000,1,10,11,6,2,1,3,13,35
6,Donatas Motiejunas,25,5,4,98,16,37,.432,4,9,.444,12,28,.429,.486,8,17,.471,10,16,26,5,4,2,12,11,44
7,Michael Beasley,27,5,0,80,22,46,.478,2,6,.333,20,40,.500,.500,6,7,.857,4,17,21,3,1,0,7,8,52
8,Corey Brewer,29,5,1,77,7,27,.259,1,10,.100,6,17,.353,.278,7,8,.875,3,4,7,8,0,1,6,13,22
9,Clint Capela,21,5,0,43,3,9,.333,0,0,,3,9,.333,.333,2,5,.400,8,12,20,2,3,2,3,5,8
10,Josh Smith,30,4,0,38,6,13,.462,4,8,.500,2,5,.400,.615,0,2,.000,1,1,2,4,1,1,5,7,16
11,K.J. McDaniels,22,4,0,34,4,13,.308,1,3,.333,3,10,.300,.346,0,0,,1,6,7,1,0,3,0,3,9
12,Montrezl Harrell,22,2,0,12,1,3,.333,0,1,.000,1,2,.500,.333,1,2,.500,0,2,2,0,0,0,1,1,3
13,Andrew Goudelock,27,2,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,0,2,2,0,0,0,3,0,6
