
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jamal Crawford,35,6,1,199,39,103,.379,4,21,.190,35,82,.427,.398,22,25,.880,2,11,13,13,10,0,9,9,104
2,DeAndre Jordan,27,6,6,198,24,38,.632,0,0,,24,38,.632,.632,22,59,.373,30,68,98,11,7,16,7,17,70
3,J.J. Redick,31,6,6,166,34,79,.430,11,31,.355,23,48,.479,.500,2,3,.667,1,11,12,5,1,1,5,11,81
4,Jeff Green,29,6,1,159,21,46,.457,4,10,.400,17,36,.472,.500,15,25,.600,3,16,19,4,6,2,3,12,61
5,Austin Rivers,23,6,2,144,26,61,.426,4,17,.235,22,44,.500,.459,6,9,.667,4,12,16,16,3,0,7,12,62
6,Blake Griffin,26,4,4,127,20,53,.377,1,2,.500,19,51,.373,.387,19,25,.760,7,28,35,16,3,2,9,9,60
7,Chris Paul,30,4,4,125,37,76,.487,6,20,.300,31,56,.554,.526,15,15,1.000,4,12,16,29,9,0,4,12,95
8,Luc Mbah a Moute,29,5,5,78,4,6,.667,0,0,,4,6,.667,.667,1,1,1.000,2,8,10,1,3,0,2,9,9
9,Wesley Johnson,28,6,0,77,5,14,.357,3,9,.333,2,5,.400,.464,3,3,1.000,5,13,18,2,1,4,2,6,16
10,Cole Aldrich,27,6,0,77,10,15,.667,0,0,,10,15,.667,.667,3,6,.500,8,22,30,3,6,3,2,11,23
11,Paul Pierce,38,5,1,54,2,12,.167,1,5,.200,1,7,.143,.208,1,4,.250,0,6,6,1,2,0,2,6,6
12,Pablo Prigioni,38,5,0,26,0,5,.000,0,2,.000,0,3,.000,.000,0,0,,2,1,3,7,0,0,3,8,0
13,C.J. Wilcox,25,2,0,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,1,0
14,Jeff Ayres,28,2,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,1,1,1.000,0,0,0,0,0,0,0,0,3
