
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Matt Barnes,35,4,4,139,16,46,.348,3,18,.167,13,28,.464,.380,8,10,.800,5,24,29,11,4,1,13,13,43
2,Zach Randolph,34,4,4,120,23,62,.371,0,0,,23,62,.371,.371,6,7,.857,15,20,35,7,1,0,7,10,52
3,Jordan Farmar,29,4,4,113,10,31,.323,4,12,.333,6,19,.316,.387,3,3,1.000,0,6,6,16,3,1,10,4,27
4,Lance Stephenson,25,4,0,95,23,44,.523,2,5,.400,21,39,.538,.545,4,5,.800,1,5,6,7,1,0,3,10,52
5,Tony Allen,34,4,2,94,10,33,.303,1,7,.143,9,26,.346,.318,9,13,.692,6,5,11,3,5,2,6,11,30
6,Vince Carter,39,4,4,91,15,33,.455,7,10,.700,8,23,.348,.561,8,8,1.000,5,10,15,5,2,1,3,9,45
7,Xavier Munford,23,4,0,89,9,28,.321,1,8,.125,8,20,.400,.339,0,2,.000,1,8,9,10,6,3,5,8,19
8,Chris Andersen,37,4,2,79,5,12,.417,0,0,,5,12,.417,.417,5,8,.625,13,18,31,3,2,3,5,4,15
9,JaMychal Green,25,4,0,72,12,22,.545,0,1,.000,12,21,.571,.545,3,6,.500,5,10,15,3,3,5,4,12,27
10,Jarell Martin,21,2,0,46,3,8,.375,0,0,,3,8,.375,.375,3,6,.500,4,3,7,1,3,0,3,4,9
11,P.J. Hairston,23,2,0,22,2,6,.333,1,3,.333,1,3,.333,.417,0,2,.000,0,0,0,0,1,0,1,1,5
