
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,27,18,18,726,175,407,.430,31,110,.282,144,297,.485,.468,130,146,.890,13,115,128,60,18,18,65,37,511
2,Russell Westbrook,27,18,18,674,159,393,.405,34,105,.324,125,288,.434,.448,116,140,.829,41,83,124,198,46,2,78,43,468
3,Serge Ibaka,26,18,18,602,85,163,.521,31,69,.449,54,94,.574,.617,15,20,.750,23,90,113,10,14,24,9,51,216
4,Steven Adams,22,18,18,553,68,111,.613,0,1,.000,68,110,.618,.613,46,73,.630,62,109,171,13,9,14,17,55,182
5,Dion Waiters,24,18,0,491,55,132,.417,21,56,.375,34,76,.447,.496,20,30,.667,6,41,47,42,10,3,20,42,151
6,Andre Roberson,24,18,18,471,40,86,.465,12,37,.324,28,49,.571,.535,8,20,.400,25,76,101,14,23,19,11,45,100
7,Enes Kanter,23,18,0,323,65,118,.551,2,14,.143,63,104,.606,.559,38,45,.844,47,64,111,5,5,11,17,40,170
8,Randy Foye,32,16,0,190,14,41,.341,8,26,.308,6,15,.400,.439,4,4,1.000,2,18,20,13,2,3,11,18,40
9,Nick Collison,35,9,0,79,4,6,.667,0,0,,4,6,.667,.667,1,2,.500,3,8,11,5,8,0,1,17,9
10,Anthony Morrow,30,14,0,76,11,24,.458,5,14,.357,6,10,.600,.563,10,10,1.000,0,2,2,1,1,0,4,5,37
11,Cameron Payne,21,10,0,64,7,26,.269,2,10,.200,5,16,.313,.308,2,4,.500,0,4,4,8,2,2,8,7,18
12,Kyle Singler,27,6,0,51,3,9,.333,2,4,.500,1,5,.200,.444,0,2,.000,1,6,7,0,1,0,0,4,8
13,Nazr Mohammed,38,5,0,10,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,2,3,0,0,1,1,1,2
14,Josh Huestis,24,2,0,10,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,1,2,3,0,0,0,0,1,3
