
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,C.J. McCollum,24,11,11,442,84,197,.426,20,58,.345,64,139,.460,.477,37,46,.804,7,33,40,36,10,5,20,30,225
2,Damian Lillard,25,11,11,437,89,242,.368,42,107,.393,47,135,.348,.455,71,78,.910,12,35,47,69,14,3,33,23,291
3,Al-Farouq Aminu,25,11,11,372,56,128,.438,28,70,.400,28,58,.483,.547,21,29,.724,23,72,95,20,8,10,21,31,161
4,Mason Plumlee,25,11,11,306,28,70,.400,0,0,,28,70,.400,.400,21,33,.636,37,93,130,53,7,11,25,42,77
5,Allen Crabbe,23,11,0,302,38,73,.521,15,35,.429,23,38,.605,.623,14,19,.737,5,27,32,15,7,1,6,23,105
6,Maurice Harkless,22,11,11,272,47,110,.427,15,44,.341,32,66,.485,.495,12,25,.480,22,34,56,7,10,3,11,38,121
7,Gerald Henderson,28,11,0,234,30,82,.366,7,19,.368,23,63,.365,.409,9,12,.750,6,29,35,17,6,3,5,21,76
8,Ed Davis,26,11,0,205,21,40,.525,0,2,.000,21,38,.553,.525,19,33,.576,26,49,75,14,2,7,10,33,61
9,Brian Roberts,30,10,0,36,2,9,.222,0,4,.000,2,5,.400,.222,4,6,.667,1,0,1,3,0,0,1,5,8
10,Chris Kaman,33,4,0,32,7,18,.389,0,0,,7,18,.389,.389,0,0,,2,6,8,1,2,0,6,10,14
11,Noah Vonleh,20,6,0,12,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,3,4,2,2,0,0,1,0
12,Luis Montero,22,6,0,8,3,3,1.000,2,2,1.000,1,1,1.000,1.333,0,0,,0,0,0,0,0,0,0,1,8
13,Pat Connaughton,23,6,0,8,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,1,1,0,0,0,0,0,8
