
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,24,10,10,339,83,166,.500,17,39,.436,66,127,.520,.551,42,51,.824,14,49,63,28,26,14,16,21,225
2,LaMarcus Aldridge,30,10,10,337,88,169,.521,2,2,1.000,86,167,.515,.527,41,46,.891,22,61,83,10,4,14,11,18,219
3,Danny Green,28,10,10,267,30,65,.462,24,48,.500,6,17,.353,.646,2,3,.667,0,31,31,7,21,8,6,20,86
4,Tony Parker,33,10,10,264,44,98,.449,4,16,.250,40,82,.488,.469,12,14,.857,1,21,22,53,6,2,18,15,104
5,Tim Duncan,39,10,10,218,22,52,.423,0,0,,22,52,.423,.423,15,21,.714,10,38,48,14,2,13,10,18,59
6,Manu Ginobili,38,10,0,192,20,47,.426,9,21,.429,11,26,.423,.521,18,23,.783,6,21,27,25,8,3,7,25,67
7,David West,35,10,0,176,25,55,.455,3,6,.500,22,49,.449,.482,5,9,.556,13,24,37,13,6,7,7,19,58
8,Patrick Mills,27,10,0,167,23,53,.434,13,36,.361,10,17,.588,.557,7,11,.636,0,14,14,20,7,0,8,3,66
9,Boris Diaw,33,9,0,159,21,46,.457,2,6,.333,19,40,.475,.478,3,4,.750,2,17,19,21,2,4,6,9,47
10,Kyle Anderson,22,10,0,129,8,25,.320,1,3,.333,7,22,.318,.340,6,7,.857,2,22,24,7,6,3,4,11,23
11,Kevin Martin,32,5,0,49,8,20,.400,4,8,.500,4,12,.333,.500,2,3,.667,0,4,4,3,1,0,6,5,22
12,Boban Marjanovic,27,7,0,42,8,12,.667,0,0,,8,12,.667,.667,8,9,.889,4,10,14,3,0,2,3,10,24
13,Andre Miller,39,5,0,35,3,7,.429,1,3,.333,2,4,.500,.500,2,2,1.000,2,3,5,7,0,0,0,4,9
14,Jonathon Simmons,26,3,0,26,4,10,.400,2,3,.667,2,7,.286,.500,1,2,.500,3,1,4,2,2,0,1,4,11
